Compound_CID,Name,SMILES,InChIKey
67356,Fluphenazine Hydrochloride,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO.Cl.Cl,MBHNWCYEGXQEIT-UHFFFAOYSA-N
2723,"4-Chloro-3,5-dimethylphenol",CC1=CC(=CC(=C1Cl)C)O,OSDLLIBGSJNGJE-UHFFFAOYSA-N
3775,Isopropamide,CC(C)[N+](C)(CCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)N)C(C)C,JTPUMZTWMWIVPA-UHFFFAOYSA-O
4031,Mebeverine,CCN(CCCCOC(=O)C1=CC(=C(C=C1)OC)OC)C(C)CC2=CC=C(C=C2)OC,VYVKHNNGDFVQGA-UHFFFAOYSA-N
4199,Minaprine,CC1=CC(=NN=C1NCCN2CCOCC2)C3=CC=CC=C3,LDMWSLGGVTVJPG-UHFFFAOYSA-N
3344,Fenspiride,C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3,FVNFBBAOMBJTST-UHFFFAOYSA-N
4184,Mianserin,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,UEQUQVLFIPOEMF-UHFFFAOYSA-N
2950,"1,8-Dihydroxyanthraquinone",C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,QBPFLULOKWLNNW-UHFFFAOYSA-N
3290,(+-)-Ethopropazine,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31,CDOZDBSBBXSXLB-UHFFFAOYSA-N
3678,Alverine,CCN(CCCC1=CC=CC=C1)CCCC2=CC=CC=C2,ZPFXAOWNKLFJDN-UHFFFAOYSA-N
4456,Neostigmine,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C,ALWKGYPQUAPLQC-UHFFFAOYSA-N
4764,Phenolphthalein,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,KJFMBFZCATUALV-UHFFFAOYSA-N
4832,Pipenzolate,CC[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,WPUKUEMZZRVAKZ-UHFFFAOYSA-N
5568,Triflupromazine,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F,XSCGXQMFQXDFCW-UHFFFAOYSA-N
4642,Oxyphencyclimine,CN1CCCN=C1COC(=O)C(C2CCCCC2)(C3=CC=CC=C3)O,DUDKAZCAISNGQN-UHFFFAOYSA-N
4926,Promazine,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31,ZGUGWUXLJSTTMA-UHFFFAOYSA-N
